org,channel,product,planner
org1,Revenue,UJZAC,user1
org1,Revenue,U I C,user1
org1,Revenue,ANTSKC,user1
org1,Revenue,ANTSKS,user1
org1,Revenue,ANTQKC,user1
org1,Revenue,MRINA,user1
org1,Revenue,ONCKDE,user1
org1,Revenue,AAF P,user1
org1,Revenue,CAS AA,user1
org1,Revenue,CAS AC,user1
org1,Revenue,CAS AD,user1
org1,Revenue,AAA S,user1
org1,Revenue,AAB LC,user1
org1,Revenue,AAA SC,user1
org1,Revenue,CAS B,user1
org1,Revenue,AAF S,user1
org1,Revenue,U D B,user1
org1,Revenue,U J C,user1
org1,Revenue,MACBJ,user1
org1,Revenue,MACBE,user1
org1,Revenue,MACEC,user1
org1,Revenue,MAB B,user1
org1,Revenue,M A DH,user1
org1,Revenue,MACAZ,user1
org1,Revenue,MAO CZ,user1
org1,Revenue,MAI A,user1
org1,Revenue,MAI D,user1
org1,Revenue,MACCZ,user1
org1,Revenue,MACCI,user1
org1,Revenue,MACFA,user1
org1,Revenue,AJF K,user1
org1,Revenue,MACCTA,user1
org1,Revenue,MACCVB,user1
org1,Revenue,BJG AC,user1
org1,Revenue,MACCRM,user1
org1,Revenue,FNIICA,user1
org1,Revenue,ANTSBC,user1
org1,Revenue,ANTSAC,user3
org1,Revenue,B PAJA,user1
org1,Revenue,B PBBV,user1
org1,Revenue,C D L,user1
org1,Revenue,MACAX,user1
org1,Revenue,FAS B,user1
org1,Revenue,FAS A,user1
org1,Revenue,MACEA,user1
org1,Revenue,MAO CI,user1
org1,Revenue,MACAD,user1
org1,Revenue,F TAA,user1
org1,Revenue,MAP CB,user1
org1,Revenue,FJM S,user1
org1,Revenue,MAP CH,user1
org1,Revenue,CJH A,user1
org1,Revenue,MAO BL,user1
org1,Revenue,E A AA,user1
org1,Revenue,E B A,user1
org1,Revenue,A B L,user1
org1,Revenue,M OAZT,user1
org1,Revenue,E A I,user1
org1,Revenue,B PAA,user1
org1,Revenue,B PEE,user1
org1,Revenue,B PARJ,user1
org1,Revenue,B PBCB,user3
org1,Revenue,B PBCA,user2
org1,Revenue,B PBEA,user2
org1,Revenue,B PBEF,user2
org1,Revenue,B V UO,user3
org1,Revenue,B PDEF,user1
org1,Revenue,B RDA,user2
org1,Revenue,B RAB,user1
org1,Revenue,B Z A,user3
org1,Revenue,MAB C,user1
org1,Revenue,M ABG,user1
org1,Revenue,CAS AF,user1
org1,Revenue,CAS AI,user3
org1,Revenue,C D RN,user1
org1,Revenue,C G H,user3
org1,Revenue,C D I,user1
org1,Revenue,MBABB,user1
org1,Revenue,A G AA,user1
org1,Revenue,A X CA,user1
org1,Revenue,A X AA,user2
org1,Revenue,A X EA,user2
org1,Revenue,MSF BA,user1
org1,Revenue,MACCYC,user1
org1,Revenue,MACCYB,user1
org1,Revenue,H P B,user3
org1,Revenue,UJZKAA,user2
org1,Revenue,AAB L,user3
org1,Revenue,U H A,user1
org1,Revenue,MAAFB,user2
org1,Revenue,MACDB,user1
org1,Revenue,MACBC,user1
org1,Revenue,MACAF,user1
org1,Revenue,MACGF,user2
org1,Revenue,MACCH,user1
org1,Revenue,EJK C,user2
org1,Revenue,AJF KA,user1
org1,Revenue,MACEG,user1
org1,Revenue,MACCUA,user1
org1,Revenue,MACCQ,user1
org1,Revenue,MAP CZ,user1
org1,Revenue,ANTNCB,user1
org1,Revenue,ANTSBD,user2
org1,Revenue,B PDBT,user1
org1,Revenue,E A G,user3
org1,Revenue,MACBEC,user1
org1,Revenue,MACGC,user1
org1,Revenue,A H B,user2
org1,Revenue,O B GB,user2
org1,Revenue,O B GA,user1
org1,Revenue,O B FA,user1
org1,Revenue,B PABB,user2
org1,Revenue,B PDBU,user1
org1,Revenue,D F A,user1
org1,Revenue,C D B,user2
org1,Revenue,ONMSDS,user1
org1,Revenue,MBBBB,user1
org1,Revenue,MBABD,user1
org1,Revenue,MBBCA,user1
org1,Revenue,A G AD,user2
org1,Revenue,M JCE,user1
org1,Revenue,MIA C,user1
org1,Revenue,UJZMA,user1
org1,Revenue,UJZMB,user1
org1,Revenue,R G AC,user2
org1,Revenue,FJM A,user1
org1,Revenue,ANTOCB,user2
org1,Revenue,F V B,user2
org1,Revenue,B PAK,user2
org1,Revenue,B PBBS,user1
org1,Revenue,BJU A,user1
org1,Revenue,M ABH,user1
org1,Revenue,C D K,user1
org1,Revenue,UJZSB,user1
org1,Revenue,MACEH,user2
org1,Revenue,MACEK,user2
org1,Revenue,MACCK,user2
